Rep	Year	RepSeason	Species	IndID	Status	Natal_X	Natal_Y	X	Y	Sex	ProbViable	DistMoved
0	0	0	0	9919	0	1	109	1	109	0	0.944671	0
0	0	0	0	9913	0	1	109	1	109	1	0.939843	0
0	0	0	0	9927	0	1	109	1	109	0	0.934005	0
0	0	0	0	9921	0	1	109	1	109	0	0.946495	0
0	0	0	0	9904	0	1	109	1	109	1	0.945944	0
0	0	0	0	9906	0	1	109	1	109	0	0.942157	0
0	0	0	0	9907	0	1	109	1	109	0	0.940392	0
0	0	0	0	9924	0	1	109	1	109	1	0.942039	0
0	0	0	0	9903	0	1	109	1	109	1	0.95026	0
0	0	0	0	9912	0	1	109	1	109	1	0.944673	0
0	0	0	0	9931	0	1	109	1	109	0	0.939311	0
0	0	0	0	9926	0	1	109	1	109	1	0.940459	0
0	0	0	0	9908	0	1	109	1	109	1	0.939267	0
0	0	0	0	9918	0	1	109	1	109	1	0.943846	0
0	0	0	0	9928	0	1	109	1	109	1	0.940283	0
0	0	0	0	19485	4	1	108	1	109	1	0.943	100
0	0	0	0	9944	0	12	132	12	132	1	0.93884	0
0	0	0	0	9941	0	12	132	12	132	0	0.946426	0
0	0	0	0	9938	0	12	132	12	132	1	0.945112	0
0	0	0	0	9939	0	12	132	12	132	0	0.950433	0
0	0	0	0	9943	0	12	132	12	132	1	0.944803	0
0	0	0	0	9937	0	12	132	12	132	1	0.950814	0
0	0	0	0	9935	0	12	132	12	132	0	0.94897	0
0	0	0	0	9942	0	12	132	12	132	0	0.945623	0
0	0	0	0	9933	0	12	132	12	132	1	0.937561	0
0	0	0	0	9945	0	12	132	12	132	0	0.944665	0
0	0	0	0	9940	0	12	132	12	132	1	0.943578	0
0	0	0	0	9934	0	12	132	12	132	0	0.944517	0
0	0	0	0	15484	5	11	128	12	132	1	0.939034	412.311
0	0	0	0	16009	5	10	124	12	132	0	0.943023	824.621
0	0	0	0	9959	0	2	100	2	100	1	0.943641	0
0	0	0	0	9955	0	2	100	2	100	0	0.935026	0
0	0	0	0	9981	0	2	100	2	100	0	0.928728	0
0	0	0	0	9972	0	2	100	2	100	1	0.943922	0
0	0	0	0	9961	0	2	100	2	100	0	0.935637	0
0	0	0	0	9973	0	2	100	2	100	0	0.943334	0
0	0	0	0	9948	0	2	100	2	100	1	0.944014	0
0	0	0	0	9962	0	2	100	2	100	1	0.942796	0
0	0	0	0	9967	0	2	100	2	100	1	0.939682	0
0	0	0	0	9976	0	2	100	2	100	0	0.937496	0
0	0	0	0	9952	0	2	100	2	100	0	0.93938	0
0	0	0	0	9964	0	2	100	2	100	0	0.937858	0
0	0	0	0	9958	0	2	100	2	100	1	0.950327	0
0	0	0	0	9970	0	2	100	2	100	1	0.947912	0
0	0	0	0	9965	0	2	100	2	100	0	0.946228	0
0	0	0	0	9947	0	2	100	2	100	1	0.943078	0
0	0	0	0	9979	0	2	100	2	100	1	0.939867	0
0	0	0	0	9983	0	2	100	2	100	0	0.945906	0
0	0	0	0	9968	0	2	100	2	100	1	0.941101	0
0	0	0	0	9977	0	2	100	2	100	0	0.937081	0
0	0	0	0	9957	0	2	100	2	100	0	0.943584	0
0	0	0	0	9974	0	2	100	2	100	1	0.942199	0
0	0	0	0	9969	0	2	100	2	100	1	0.935374	0
0	0	0	0	9951	0	2	100	2	100	0	0.940951	0
0	0	0	0	9963	0	2	100	2	100	0	0.948599	0
0	0	0	0	9982	0	2	100	2	100	0	0.934668	0
0	0	0	0	9960	0	2	100	2	100	1	0.942662	0
0	0	0	0	9980	0	2	100	2	100	0	0.939859	0
0	0	0	0	9971	0	2	100	2	100	0	0.940768	0
0	0	0	0	9949	0	2	100	2	100	1	0.948156	0
0	0	0	0	9946	0	2	100	2	100	1	0.946585	0
